"## Vehicle"
"Name","Description","DistUnit","FuelUnit","ConsumptionUnit","ImportCSVDateFormat","VIN","Insurance","Plate","Make","Model","Year","TankCount","Tank1Type","Tank2Type","Active","Tank1Capacity","Tank2Capacity","FuelUnitTank2","FuelConsumptionTank2","guid","lastupdated"
"X-Trail ","","0","0","3","yyyy-MM-dd","","","","","",,"1","100","0","1","65.0","0.0","0","0","6cc8b7b4-5076-4310-bd3b-0614146534fa","1782055666435"
"## Log"
"Data","Odo (km)","Fuel (litres)","Full","Price (optional)","km/l (optional)","latitude (optional)","longitude (optional)","City (optional)","Notes (optional)","Missed","TankNumber","FuelType","VolumePrice","StationID (optional)","ExcludeDistance","UniqueId","TankCalc","Weather","guid","lastupdated"
"2026-06-20 07:55","179915.0","50.0","0","500000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","180","0.0",,"38149c96-2b7f-4daa-a3f1-4b1ca3aad8b2","1781916957629"
"2026-06-11 17:58","179640.0","30.0","0","300000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","179","0.0",,"08305b9b-0c24-4f49-9187-443d4163ff22","1781916957630"
"2026-05-23 13:47","178496.0","50.0","0","500000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","178","0.0",,"9c3a1d15-418d-4b7e-a8f9-65802766fb94","1781916957631"
"2026-05-18 19:42","178215.0","30.0","0","300000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","177","0.0",,"cfafd727-53ff-4a06-952f-79fca4808b18","1781916957631"
"2026-05-12 21:09","177916.0","40.0","0","400000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","176","0.0",,"7f5f139b-aa03-4d77-933d-05717738e2a0","1781916957632"
"2026-05-08 08:54","177611.0","30.0","0","300000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","175","0.0",,"aaaa21f3-5f75-45cc-8375-44ed0d5c8b4d","1781916957632"
"2026-05-03 15:53","177377.0","30.0","0","300000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","174","0.0",,"42a7b3d1-1ed3-4205-82c9-cf2314cdd96f","1781916957633"
"2026-04-27 20:20","177256.0","30.0","0","300000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","173","0.0",,"6ee70745-0c96-4518-a751-ad71f1785b02","1781916957634"
"2026-04-19 14:34","176916.0","20.0","0","200000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","172","0.0",,"4fadb1c4-9212-492a-a27e-9f0413bab1d6","1781916957634"
"2026-04-05 12:04","175800.0","35.0","0","350000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","171","0.0",,"7ab91d33-4258-473f-8729-7555f93869d6","1781916957635"
"2026-03-06 16:26","174537.0","45.0","0","450000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","170","0.0",,"9d2cba75-015d-4ce7-9620-3afa5f456a92","1781916957635"
"2026-03-01 14:38","174165.0","20.0","0","200000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","169","0.0",,"cac10b4b-8f0d-4cd5-a455-205e08d9bba8","1781916957636"
"2026-02-22 12:47","173894.0","40.0","0","400000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","168","0.0",,"676fb124-5028-4466-8bb5-17ee077a080b","1781916957637"
"2026-01-29 20:13","173010.0","30.0","0","300000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","167","0.0",,"86e41261-f8a6-450c-aab2-225b96fedb60","1781916957637"
"2025-12-15 16:56","171586.0","60.0","0","600000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","166","0.0",,"ecb64f58-810a-4ac1-a461-8f6340875105","1781916957638"
"2025-12-10 19:28","171212.0","40.0","0","400000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","165","0.0",,"9acadd43-d5a0-47ef-ad98-b2f352874ac4","1781916957639"
"2025-12-01 11:13","170928.0","40.0","0","400000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","164","0.0",,"78d85be2-4994-4184-b3c6-22bfd50e3f2e","1781916957639"
"2025-11-24 22:00","170664.0","30.0","0","300000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","163","0.0",,"6ec0492c-b6e9-416e-8e75-27ec7fadab26","1781916957640"
"2025-11-22 18:02","170496.0","30.0","0","300000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","162","0.0",,"ddba93c6-8fa3-4f72-a87f-80d6bdfc1496","1781916957640"
"2025-11-17 11:35","170238.0","30.0","0","300000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","161","0.0",,"0382a1e8-ad98-4657-8c29-f7b6e81c0d33","1781916957641"
"2025-11-10 20:58","170002.0","50.0","0","500000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","160","0.0",,"e4f54967-f8d2-4c9a-b11c-6516355ae0a7","1781916957641"
"2025-11-07 08:16","169686.0","30.0","0","300000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","159","0.0",,"001ae2a5-c35e-4424-a749-8e95607274a0","1781916957642"
"2025-10-30 18:31","169414.0","50.0","0","500000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","158","0.0",,"bf483d00-21e5-4d5c-90d7-34e6d63992a4","1781916957643"
"2025-10-25 11:02","169108.0","40.0","0","400000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","157","0.0",,"a274822d-68cf-473a-b890-609c4fd15911","1781916957643"
"2025-10-22 21:19","168967.0","16.13","0","200010.76",,"0.0","0.0",,"","0","1","107","12400.0","0","0.0","156","0.0",,"cede4e6d-2248-41f9-b153-e2fe0f855d3f","1781916957644"
"2025-10-19 21:33","168833.0","20.0","0","200000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","155","0.0",,"2b28f34f-9d8a-4e87-83cf-e3221718239f","1781916957644"
"2025-10-17 22:14","168330.0","61.21","0","612100.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","154","0.0",,"d6a0b492-7a6c-4edd-9ed3-94812a59e6e3","1781916957645"
"2025-10-13 22:36","168107.0","40.0","0","400000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","153","0.0",,"8a95a8de-f94c-4b5e-bc52-52b805b9bb35","1781916957646"
"2025-10-06 20:10","167917.0","20.0","0","200000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","152","0.0",,"43cf619f-1745-4037-b7d5-eeed5d77ed86","1781916957646"
"2025-10-03 15:37","167723.0","25.0","0","250000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","151","0.0",,"9ae6001e-2677-451e-ba1f-9eebb5c1a1f8","1781916957647"
"2025-09-29 17:53","167519.0","30.0","0","300000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","150","0.0",,"93b8950c-f13f-4910-b7cf-db7c601c17c0","1781916957647"
"2025-09-27 07:04","167237.0","40.0","0","400000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","149","0.0",,"4e97fd66-72e4-4962-991f-ab200011f87d","1781916957648"
"2025-09-21 11:02","166881.0","25.0","0","250000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","148","0.0",,"0c4a4885-b1e7-4d79-8012-2d408e12b7e8","1781916957648"
"2025-09-21 10:57","166200.0","40.0","0","400000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","147","0.0",,"89883a39-cfae-4bdc-8709-567be836eeb4","1781916957649"
"2025-09-09 21:40","165956.0","10.0","0","100000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","146","0.0",,"796d4cfa-6c5a-4bef-9666-79e7154af10a","1781916957649"
"2025-09-08 21:40","165902.0","15.0","0","150000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","145","0.0",,"66d7f04d-e471-4752-a9d2-1f754e5b472b","1781916957650"
"2025-08-30 10:37","165550.0","20.0","0","200000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","144","0.0",,"5e7261be-814a-4f05-9114-5f61cd295399","1781916957651"
"2025-08-25 11:26","165293.0","35.0","0","350000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","143","0.0",,"c7fb4a7e-ca54-4e23-92f7-f0905f226acc","1781916957651"
"2025-08-18 17:18","165082.0","30.0","0","300000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","142","0.0",,"054b7a89-b9b2-4e6b-82a8-0579baa0c8e1","1781916957652"
"2025-08-10 06:39","164573.0","20.0","0","200000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","141","0.0",,"cde4f321-bca4-4792-8453-3bda471772e1","1781916957652"
"2025-08-08 22:38","164131.0","35.0","0","350000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","140","0.0",,"9773c9cc-61e7-4784-a4fc-84b973a9a3b7","1781916957653"
"2025-08-06 17:38","164014.0","20.0","0","200000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","139","0.0",,"455b2d52-324d-4ac3-acbe-9c61411a5e83","1781916957654"
"2025-07-31 13:09","163561.0","20.0","0","200000.0",,"0.0","0.0",,"","0","1","105","10000.0","0","0.0","138","0.0",,"827352ee-c9cf-4a2f-b258-e6bde08c1176","1781916957654"
